antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'beauty & health - Value Bazaar'}),frozenset({'beauty & health - Luxury Beauty'}),0.057866666666666663,0.06186666666666667,0.012266666666666667,0.21198156682027652,3.4264261878277456,0.00868664888888889,1.190496686159844
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'beauty & health - Value Bazaar'}),0.06186666666666667,0.057866666666666663,0.012266666666666667,0.19827586206896552,3.4264261878277456,0.00868664888888889,1.1751340501792116
frozenset({'beauty & health - Value Bazaar'}),frozenset({'beauty & health - Make-up'}),0.057866666666666663,0.06186666666666667,0.009866666666666666,0.1705069124423963,2.756038455426664,0.006286648888888888,1.130971851851852
frozenset({'beauty & health - Make-up'}),frozenset({'beauty & health - Value Bazaar'}),0.06186666666666667,0.057866666666666663,0.009866666666666666,0.15948275862068964,2.7560384554266646,0.006286648888888888,1.120897094017094
frozenset({'beauty & health - Value Bazaar'}),frozenset({'bags & luggage - Suitcases & Trolley Bags'}),0.057866666666666663,0.02266666666666667,0.006666666666666667,0.11520737327188942,5.082678232583357,0.0053550222222222225,1.1045902777777779
frozenset({'bags & luggage - Suitcases & Trolley Bags'}),frozenset({'beauty & health - Value Bazaar'}),0.02266666666666667,0.057866666666666663,0.006666666666666667,0.29411764705882354,5.082678232583357,0.0053550222222222225,1.334688888888889
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'bags & luggage - Suitcases & Trolley Bags'}),0.06186666666666667,0.02266666666666667,0.0061333333333333335,0.09913793103448276,4.373732251521298,0.004731022222222222,1.0848867623604466
frozenset({'bags & luggage - Suitcases & Trolley Bags'}),frozenset({'beauty & health - Luxury Beauty'}),0.02266666666666667,0.06186666666666667,0.0061333333333333335,0.27058823529411763,4.3737322515212975,0.004731022222222222,1.2861505376344085
frozenset({'beauty & health - Make-up'}),frozenset({'bags & luggage - Suitcases & Trolley Bags'}),0.06186666666666667,0.02266666666666667,0.005066666666666666,0.08189655172413793,3.6130831643002024,0.003664355555555555,1.0645133020344288
frozenset({'bags & luggage - Suitcases & Trolley Bags'}),frozenset({'beauty & health - Make-up'}),0.02266666666666667,0.06186666666666667,0.005066666666666666,0.22352941176470587,3.6130831643002024,0.003664355555555555,1.2082020202020203
frozenset({'accessories - Fashion & Silver Jewellery'}),frozenset({'beauty & health - Luxury Beauty'}),0.0168,0.06186666666666667,0.006666666666666667,0.39682539682539686,6.414203612479475,0.005627306666666667,1.555326315789474
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'accessories - Fashion & Silver Jewellery'}),0.06186666666666667,0.0168,0.006666666666666667,0.10775862068965518,6.414203612479476,0.005627306666666667,1.101943961352657
frozenset({'beauty & health - Value Bazaar'}),frozenset({'bags & luggage - Rucksacks'}),0.057866666666666663,0.0248,0.005866666666666667,0.10138248847926268,4.088003567712205,0.0044315733333333334,1.0852225641025641
frozenset({'bags & luggage - Rucksacks'}),frozenset({'beauty & health - Value Bazaar'}),0.0248,0.057866666666666663,0.005866666666666667,0.23655913978494625,4.088003567712205,0.0044315733333333334,1.234061971830986
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'bags & luggage - Rucksacks'}),0.06186666666666667,0.0248,0.005866666666666667,0.09482758620689655,3.8236929922135707,0.004332373333333334,1.0773638095238096
frozenset({'bags & luggage - Rucksacks'}),frozenset({'beauty & health - Luxury Beauty'}),0.0248,0.06186666666666667,0.005866666666666667,0.23655913978494625,3.8236929922135707,0.004332373333333334,1.2288225352112676
frozenset({'bags & luggage - Rucksacks'}),frozenset({'beauty & health - Make-up'}),0.0248,0.06186666666666667,0.006666666666666667,0.2688172043010753,4.345105672969967,0.005132373333333334,1.283035294117647
frozenset({'beauty & health - Make-up'}),frozenset({'bags & luggage - Rucksacks'}),0.06186666666666667,0.0248,0.006666666666666667,0.10775862068965518,4.345105672969967,0.005132373333333334,1.0929777777777776
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'beauty & health - Make-up'}),0.06186666666666667,0.06186666666666667,0.0144,0.23275862068965517,3.762262187871581,0.010572515555555556,1.2227355805243445
frozenset({'beauty & health - Make-up'}),frozenset({'beauty & health - Luxury Beauty'}),0.06186666666666667,0.06186666666666667,0.0144,0.23275862068965517,3.762262187871581,0.010572515555555556,1.2227355805243445
frozenset({'bags & luggage - Travel Duffles'}),frozenset({'beauty & health - Make-up'}),0.021066666666666668,0.06186666666666667,0.006666666666666667,0.31645569620253167,5.115124399825404,0.0053633422222222225,1.3724543209876545
frozenset({'beauty & health - Make-up'}),frozenset({'bags & luggage - Travel Duffles'}),0.06186666666666667,0.021066666666666668,0.006666666666666667,0.10775862068965518,5.115124399825404,0.0053633422222222225,1.097161996779388
frozenset({'bags & luggage - Travel Duffles'}),frozenset({'beauty & health - Luxury Beauty'}),0.021066666666666668,0.06186666666666667,0.005333333333333333,0.2531645569620253,4.092099519860322,0.0040300088888888886,1.2561446327683616
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'bags & luggage - Travel Duffles'}),0.06186666666666667,0.021066666666666668,0.005333333333333333,0.08620689655172413,4.092099519860322,0.0040300088888888886,1.071285534591195
frozenset({'bags & luggage - Travel Duffles'}),frozenset({'beauty & health - Value Bazaar'}),0.021066666666666668,0.057866666666666663,0.006933333333333333,0.3291139240506329,5.687452604561629,0.005714275555555555,1.4043119496855345
frozenset({'beauty & health - Value Bazaar'}),frozenset({'bags & luggage - Travel Duffles'}),0.057866666666666663,0.021066666666666668,0.006933333333333333,0.11981566820276497,5.687452604561628,0.005714275555555555,1.1121912739965096
frozenset({'bags & luggage - Wallets'}),frozenset({'beauty & health - Luxury Beauty'}),0.0224,0.06186666666666667,0.006666666666666667,0.2976190476190476,4.810652709359606,0.0052808533333333334,1.335647457627119
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'bags & luggage - Wallets'}),0.06186666666666667,0.0224,0.006666666666666667,0.10775862068965518,4.810652709359606,0.0052808533333333334,1.0956676328502415
frozenset({'beauty & health - Value Bazaar'}),frozenset({'bags & luggage - Wallets'}),0.057866666666666663,0.0224,0.0056,0.09677419354838711,4.320276497695853,0.004303786666666667,1.0823428571428573
frozenset({'bags & luggage - Wallets'}),frozenset({'beauty & health - Value Bazaar'}),0.0224,0.057866666666666663,0.0056,0.25,4.320276497695853,0.004303786666666667,1.2561777777777778
frozenset({'bags & luggage - Wallets'}),frozenset({'bags & luggage - Rucksacks'}),0.0224,0.0248,0.0064,0.28571428571428575,11.520737327188941,0.00584448,1.36528
frozenset({'bags & luggage - Rucksacks'}),frozenset({'bags & luggage - Wallets'}),0.0248,0.0224,0.0064,0.2580645161290323,11.520737327188943,0.00584448,1.3176347826086956
frozenset({'accessories - Bags & Luggage'}),frozenset({'beauty & health - Value Bazaar'}),0.017866666666666666,0.057866666666666663,0.0056,0.31343283582089554,5.416466056812712,0.0045661155555555555,1.3722376811594204
frozenset({'beauty & health - Value Bazaar'}),frozenset({'accessories - Bags & Luggage'}),0.057866666666666663,0.017866666666666666,0.0056,0.09677419354838711,5.416466056812712,0.0045661155555555555,1.0873619047619048
frozenset({'accessories - Bags & Luggage'}),frozenset({'beauty & health - Luxury Beauty'}),0.017866666666666666,0.06186666666666667,0.005333333333333333,0.29850746268656714,4.825012866700978,0.004227982222222222,1.3373390070921987
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'accessories - Bags & Luggage'}),0.06186666666666667,0.017866666666666666,0.005333333333333333,0.08620689655172413,4.825012866700978,0.004227982222222222,1.0747874213836477
frozenset({'beauty & health - Value Bazaar'}),frozenset({'accessories - Sunglasses'}),0.057866666666666663,0.017066666666666667,0.005066666666666666,0.08755760368663594,5.130328341013825,0.004079075555555555,1.0772552188552187
frozenset({'accessories - Sunglasses'}),frozenset({'beauty & health - Value Bazaar'}),0.017066666666666667,0.057866666666666663,0.005066666666666666,0.29687499999999994,5.130328341013824,0.004079075555555555,1.339922962962963
frozenset({'accessories - Sunglasses'}),frozenset({'beauty & health - Make-up'}),0.017066666666666667,0.06186666666666667,0.005066666666666666,0.29687499999999994,4.798626077586206,0.004010808888888889,1.3342340740740741
frozenset({'beauty & health - Make-up'}),frozenset({'accessories - Sunglasses'}),0.06186666666666667,0.017066666666666667,0.005066666666666666,0.08189655172413793,4.798626077586206,0.004010808888888889,1.0706128325508606
frozenset({'accessories - Jewellery'}),frozenset({'beauty & health - Luxury Beauty'}),0.017333333333333333,0.06186666666666667,0.0056,0.3230769230769231,5.222148541114058,0.004527644444444445,1.385878787878788
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'accessories - Jewellery'}),0.06186666666666667,0.017333333333333333,0.0056,0.09051724137931035,5.222148541114058,0.004527644444444445,1.0804676145339653
frozenset({'bags & luggage - Backpacks'}),frozenset({'beauty & health - Value Bazaar'}),0.025333333333333333,0.057866666666666663,0.010133333333333333,0.39999999999999997,6.912442396313364,0.008667377777777777,1.570222222222222
frozenset({'beauty & health - Value Bazaar'}),frozenset({'bags & luggage - Backpacks'}),0.057866666666666663,0.025333333333333333,0.010133333333333333,0.17511520737327188,6.912442396313364,0.008667377777777777,1.1815791433891993
frozenset({'bags & luggage - Backpacks'}),frozenset({'beauty & health - Make-up'}),0.025333333333333333,0.06186666666666667,0.0056,0.22105263157894736,3.5730490018148817,0.004032711111111111,1.2043603603603605
frozenset({'beauty & health - Make-up'}),frozenset({'bags & luggage - Backpacks'}),0.06186666666666667,0.025333333333333333,0.0056,0.09051724137931035,3.573049001814882,0.004032711111111111,1.0716714060031596
frozenset({'bags & luggage - Backpacks'}),frozenset({'beauty & health - Luxury Beauty'}),0.025333333333333333,0.06186666666666667,0.007466666666666667,0.2947368421052632,4.764065335753177,0.005899377777777778,1.3301890547263682
frozenset({'beauty & health - Luxury Beauty'}),frozenset({'bags & luggage - Backpacks'}),0.06186666666666667,0.025333333333333333,0.007466666666666667,0.12068965517241378,4.764065335753176,0.005899377777777778,1.1084444444444446
frozenset({'accessories - Watches'}),frozenset({'beauty & health - Make-up'}),0.019466666666666667,0.06186666666666667,0.0061333333333333335,0.3150684931506849,5.092701936702881,0.004928995555555556,1.3696746666666666
frozenset({'beauty & health - Make-up'}),frozenset({'accessories - Watches'}),0.06186666666666667,0.019466666666666667,0.0061333333333333335,0.09913793103448276,5.092701936702881,0.004928995555555556,1.0884389154704945
frozenset({'bags & luggage - Travel Accessories'}),frozenset({'beauty & health - Make-up'}),0.018133333333333335,0.06186666666666667,0.005333333333333333,0.2941176470588235,4.754056795131845,0.0042114844444444445,1.329022222222222
frozenset({'beauty & health - Make-up'}),frozenset({'bags & luggage - Travel Accessories'}),0.06186666666666667,0.018133333333333335,0.005333333333333333,0.08620689655172413,4.754056795131845,0.0042114844444444445,1.0744955974842767
frozenset({'accessories - Gold & Diamond Jewellery'}),frozenset({'beauty & health - Value Bazaar'}),0.017333333333333333,0.057866666666666663,0.005333333333333333,0.3076923076923077,5.317263381779512,0.0043303111111111115,1.3608592592592594
frozenset({'beauty & health - Value Bazaar'}),frozenset({'accessories - Gold & Diamond Jewellery'}),0.057866666666666663,0.017333333333333333,0.005333333333333333,0.09216589861751152,5.317263381779512,0.0043303111111111115,1.082429780033841
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Kitchen & Dining'}),0.047466666666666664,0.0536,0.007466666666666667,0.15730337078651685,2.9347643803454635,0.004922453333333333,1.1230613333333332
frozenset({'home & kitchen - Kitchen & Dining'}),frozenset({'appliances - Refrigerators'}),0.0536,0.047466666666666664,0.007466666666666667,0.13930348258706468,2.934764380345464,0.004922453333333333,1.1067005780346821
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Kitchen Storage & Containers'}),0.047466666666666664,0.055466666666666664,0.0056,0.11797752808988765,2.1269987035436477,0.0029671822222222225,1.070872186836518
