,userid,productid,main_category,sub_category,rating
0,90187,hkt242817,home & kitchen,Furniture,2.0
1,68271,acs019412,accessories,Handbags & Clutches,4.1
2,82010,msh089295,men's shoes,Casual Shoes,4.9
3,69735,str226246,stores,The Designer Boutique,1.6
4,70976,tvc114892,"tv, audio & cameras",Speakers,1.3
5,42896,app176509,appliances,Kitchen & Home Appliances,2.6
6,98549,wcl064679,women's clothing,Clothing,4.6
7,51019,acs161941,accessories,Bags & Luggage,4.2
8,23445,acs014034,accessories,Handbags & Clutches,4.0
9,17171,acs003940,accessories,Bags & Luggage,4.0
10,39716,acs170292,accessories,Fashion & Silver Jewellery,3.6
11,66888,tvc158714,"tv, audio & cameras",Cameras,3.0
12,48611,hkt170664,home & kitchen,Home Storage,2.9
13,96021,spf083797,sports & fitness,Cricket,5.0
14,63638,app173461,appliances,Kitchen & Home Appliances,4.0
15,39716,app252509,appliances,Kitchen & Home Appliances,2.5
16,76898,acs184082,accessories,Fashion & Silver Jewellery,4.5
17,90202,acs041744,accessories,Jewellery,2.1
18,32903,acs254767,accessories,Jewellery,4.4
19,35501,tvc018502,"tv, audio & cameras",Speakers,3.9
20,93239,msh214049,men's shoes,Sports Shoes,3.3
21,41093,mcl228256,men's clothing,Innerwear,3.6
22,31526,acs102028,accessories,Watches,1.5
23,41896,tvc026184,"tv, audio & cameras",Cameras,5.0
24,11344,acs263793,accessories,Jewellery,3.1
25,34605,wcl134760,women's clothing,Clothing,3.5
26,35501,app191906,appliances,Kitchen & Home Appliances,2.0
27,58740,wcl132757,women's clothing,Western Wear,1.6
28,10606,mcl171422,men's clothing,T-shirts & Polos,3.9
29,73680,tvc216378,"tv, audio & cameras",Security Cameras,3.7
30,50241,tvc044968,"tv, audio & cameras",Camera Accessories,2.6
31,41019,wcl148435,women's clothing,Lingerie & Nightwear,1.2
32,17038,wsh246808,women's shoes,Shoes,4.3
33,84744,app130106,appliances,Kitchen & Home Appliances,4.5
34,59974,hkt120618,home & kitchen,Kitchen & Dining,2.7
35,60904,wcl179576,women's clothing,Lingerie & Nightwear,1.7
36,43390,tvc203528,"tv, audio & cameras",Cameras,2.6
37,12596,wcl212243,women's clothing,Lingerie & Nightwear,4.7
38,17701,acs126593,accessories,Jewellery,4.7
39,99043,acs246608,accessories,Jewellery,4.0
40,32903,tvc060099,"tv, audio & cameras",Headphones,3.7
41,73722,tvc133829,"tv, audio & cameras",Camera Accessories,1.5
42,28087,tvc028686,"tv, audio & cameras",Cameras,4.8
43,22700,acs237684,accessories,Handbags & Clutches,1.5
44,70189,acs006370,accessories,Fashion & Silver Jewellery,4.8
45,76598,msh013016,men's shoes,Casual Shoes,4.7
46,47931,wcl010957,women's clothing,Ethnic Wear,3.9
47,45200,mcl002599,men's clothing,T-shirts & Polos,1.2
48,12056,mcl025307,men's clothing,Shirts,4.0
49,98256,wcl134175,women's clothing,Ethnic Wear,2.0
50,76563,wcl103295,women's clothing,Lingerie & Nightwear,2.9
51,29733,mcl252383,men's clothing,Shirts,4.5
52,17742,msh007886,men's shoes,Casual Shoes,3.8
53,99039,ind136201,industrial supplies,"Test, Measure & Inspect",4.0
54,62685,msh203036,men's shoes,Formal Shoes,2.2
55,75857,ggf059605,grocery & gourmet foods,Snack Foods,1.1
56,62858,acs089363,accessories,Fashion & Silver Jewellery,3.3
57,30942,acs086058,accessories,Bags & Luggage,1.0
58,81617,acs209487,accessories,Bags & Luggage,3.8
59,38918,tvc121046,"tv, audio & cameras",Camera Accessories,1.2
60,68503,acs141935,accessories,Jewellery,4.1
61,16705,acs038381,accessories,Handbags & Clutches,3.8
62,11217,acs004643,accessories,Jewellery,3.1
63,58429,wcl021362,women's clothing,Ethnic Wear,2.6
64,94653,wcl246013,women's clothing,Clothing,1.3
65,73575,acs041773,accessories,Bags & Luggage,3.8
66,39969,str229601,stores,Men's Fashion,2.2
67,21692,mcl166413,men's clothing,Innerwear,3.4
68,84678,acs045425,accessories,Bags & Luggage,2.5
69,89913,tvc154556,"tv, audio & cameras",Speakers,2.0
70,64182,wcl241165,women's clothing,Western Wear,2.4
71,53732,app106594,appliances,Washing Machines,1.9
72,28291,acs020839,accessories,Fashion & Silver Jewellery,4.6
73,37348,spf250688,sports & fitness,Badminton,1.5
74,20116,tvc075590,"tv, audio & cameras",Camera Accessories,4.2
75,13275,bth146643,beauty & health,Make-up,3.3
76,51553,acs185976,accessories,Handbags & Clutches,4.4
77,81004,tvc198304,"tv, audio & cameras",Speakers,1.6
78,57187,wcl155970,women's clothing,Ethnic Wear,3.6
79,87317,tvc216329,"tv, audio & cameras",Home Entertainment Systems,2.8
80,20690,str071651,stores,Men's Fashion,3.6
81,57130,hkt081170,home & kitchen,Sewing & Craft Supplies,3.3
82,66005,kfa061575,kids' fashion,School Bags,1.9
83,61835,app176829,appliances,Heating & Cooling Appliances,3.7
84,48590,str157330,stores,Men's Fashion,4.8
85,90350,str071808,stores,Men's Fashion,3.8
86,38918,wcl015419,women's clothing,Ethnic Wear,2.9
87,65734,app102167,appliances,Kitchen & Home Appliances,2.0
88,61995,hkt065979,home & kitchen,Home Furnishing,1.5
89,54982,acs075010,accessories,Jewellery,2.1
90,95673,tbp260965,toys & baby products,Toys Gifting Store,1.2
91,68835,app015199,appliances,Heating & Cooling Appliances,2.6
92,84804,acs019127,accessories,Fashion & Silver Jewellery,2.4
93,46815,app011410,appliances,Kitchen & Home Appliances,4.3
94,93046,msh102363,men's shoes,Formal Shoes,4.5
95,16065,wcl218628,women's clothing,Western Wear,1.2
96,39543,bth196490,beauty & health,Beauty & Grooming,4.4
97,55067,tvc029380,"tv, audio & cameras",Cameras,1.5
98,25028,acs002897,accessories,Handbags & Clutches,1.3
99,99119,spf069886,sports & fitness,Yoga,2.3
100,64182,kfa105045,kids' fashion,School Bags,1.5
101,17229,str025241,stores,Sportswear,3.5
102,17696,app031548,appliances,Heating & Cooling Appliances,2.7
103,60598,wcl204916,women's clothing,Clothing,1.8
104,12684,acs262589,accessories,Handbags & Clutches,3.3
105,36228,msh064348,men's shoes,Sports Shoes,3.6
106,43398,wcl004742,women's clothing,Western Wear,2.8
107,28677,app029697,appliances,Heating & Cooling Appliances,2.9
108,53277,acs062532,accessories,Fashion & Silver Jewellery,5.0
109,84185,tvc132526,"tv, audio & cameras",Cameras,3.8
110,28291,pet164864,pet supplies,Dog supplies,4.2
111,14599,tvc222676,"tv, audio & cameras",Camera Accessories,1.0
112,87667,mcl175646,men's clothing,T-shirts & Polos,4.4
113,27372,msh008898,men's shoes,Casual Shoes,2.8
114,13025,str106571,stores,Women's Fashion,2.0
115,58164,mcl246065,men's clothing,T-shirts & Polos,1.1
116,23807,tbp161047,toys & baby products,Toys & Games,4.4
117,35043,tvc167938,"tv, audio & cameras",Headphones,2.5
118,52252,app172426,appliances,Washing Machines,2.8
119,61556,mcl227791,men's clothing,Shirts,2.1
120,69932,tvc194771,"tv, audio & cameras",Cameras,4.4
121,40307,acs234108,accessories,Jewellery,1.3
122,28087,app182241,appliances,Heating & Cooling Appliances,4.8
123,49501,tvc231018,"tv, audio & cameras",Home Entertainment Systems,4.4
124,36048,app099996,appliances,Kitchen & Home Appliances,3.5
125,48366,acs045598,accessories,Jewellery,2.3
126,71836,tbp031680,toys & baby products,"Baby Bath, Skin & Grooming",1.9
127,82737,acs252479,accessories,Bags & Luggage,1.8
128,61752,acs148844,accessories,Fashion & Silver Jewellery,2.4
129,58060,wcl021260,women's clothing,Ethnic Wear,2.2
130,31252,acs199961,accessories,Handbags & Clutches,2.5
131,53309,acs115268,accessories,Handbags & Clutches,3.0
132,29095,wcl011367,women's clothing,Ethnic Wear,3.8
133,49382,kfa156925,kids' fashion,Kids' Clothing,1.4
134,59630,wcl068969,women's clothing,Clothing,3.4
135,63521,bth017823,beauty & health,Diet & Nutrition,3.6
136,37122,acs122401,accessories,Jewellery,1.3
137,72028,str192215,stores,Men's Fashion,2.5
138,89100,bag111790,bags & luggage,Travel Accessories,3.0
139,81617,wcl138161,women's clothing,Clothing,1.9
140,48980,tvc000865,"tv, audio & cameras",Headphones,3.6
141,97636,acs128648,accessories,Jewellery,1.3
142,90947,tvc250629,"tv, audio & cameras",Camera Accessories,3.7
143,24583,tvc217820,"tv, audio & cameras",Speakers,1.3
144,22342,app197480,appliances,Kitchen & Home Appliances,5.0
145,47175,mcl138502,men's clothing,Innerwear,1.3
146,62855,kfa159850,kids' fashion,Baby Fashion,3.0
147,98025,mcl222471,men's clothing,Shirts,4.6
148,43032,wcl029350,women's clothing,Ethnic Wear,1.2
149,57469,pet034731,pet supplies,Dog supplies,1.2
150,80941,tvc160082,"tv, audio & cameras",Home Entertainment Systems,4.4
151,10941,wcl067251,women's clothing,Clothing,2.7
152,49600,app149629,appliances,Kitchen & Home Appliances,3.9
153,28766,mcl238536,men's clothing,Innerwear,4.0
154,75387,str122935,stores,Men's Fashion,4.4
155,94551,mcl234850,men's clothing,Innerwear,4.7
156,27113,acs242565,accessories,Bags & Luggage,1.3
157,67538,tvc207218,"tv, audio & cameras",Home Entertainment Systems,2.0
158,97416,wcl200235,women's clothing,Western Wear,1.3
159,60884,wcl244229,women's clothing,Western Wear,1.9
160,96670,wcl224154,women's clothing,Clothing,3.5
161,82852,app120828,appliances,Kitchen & Home Appliances,3.6
162,67428,wcl189927,women's clothing,Clothing,4.0
163,47720,acs138562,accessories,Handbags & Clutches,4.3
164,55861,msh063853,men's shoes,Formal Shoes,2.5
165,15189,hkt109126,home & kitchen,Kitchen & Dining,4.4
166,82736,bag184794,bags & luggage,Travel Accessories,1.7
167,52182,msh184148,men's shoes,Formal Shoes,2.7
168,32369,tvc225943,"tv, audio & cameras",Headphones,1.9
169,25098,msh134916,men's shoes,Casual Shoes,2.2
170,88351,wcl249855,women's clothing,Ethnic Wear,1.7
171,81616,hkt043545,home & kitchen,Home Furnishing,3.4
172,53150,str113701,stores,Men's Fashion,2.3
173,44425,str139403,stores,The Designer Boutique,4.7
174,11430,acs081672,accessories,Fashion & Silver Jewellery,1.2
175,51765,wcl243008,women's clothing,Western Wear,4.4
176,96000,tvc162973,"tv, audio & cameras",Camera Accessories,3.0
177,62999,tvc185802,"tv, audio & cameras",Cameras,2.6
178,32130,spf012975,sports & fitness,Fitness Accessories,4.0
179,17774,mcl175885,men's clothing,Jeans,4.9
180,11495,acs071461,accessories,Fashion & Silver Jewellery,4.1
181,28394,acs182410,accessories,Watches,4.1
182,97824,acs119729,accessories,Handbags & Clutches,4.0
183,24894,tvc128349,"tv, audio & cameras",Home Entertainment Systems,4.5
184,74573,wcl227429,women's clothing,Clothing,3.6
185,45966,app087412,appliances,Heating & Cooling Appliances,3.3
186,75221,msh109890,men's shoes,Sports Shoes,4.9
187,43390,app255800,appliances,Kitchen & Home Appliances,2.9
188,63086,msh163936,men's shoes,Sports Shoes,3.4
189,48482,wcl215846,women's clothing,Ethnic Wear,3.7
190,50053,app098949,appliances,Kitchen & Home Appliances,3.3
191,40423,bag095791,bags & luggage,Backpacks,4.7
192,19020,tvc055793,"tv, audio & cameras",Home Entertainment Systems,2.9
193,26605,acs000048,accessories,Handbags & Clutches,1.9
194,90709,app082470,appliances,Heating & Cooling Appliances,2.0
195,29040,mcl257298,men's clothing,Shirts,1.7
196,34641,hkt095420,home & kitchen,Home Décor,1.3
197,98256,msc015398,music,Musical Instruments & Professional Audio,2.0
198,19020,mcl103797,men's clothing,Shirts,4.5
199,79982,hkt033924,home & kitchen,Kitchen Storage & Containers,1.1
200,29576,bth088028,beauty & health,Make-up,2.3
201,10290,acs032054,accessories,Handbags & Clutches,1.1
202,30168,msh258746,men's shoes,Sports Shoes,4.4
203,53428,mcl088981,men's clothing,Jeans,4.6
204,76150,msh245663,men's shoes,Formal Shoes,2.2
205,30950,mcl087587,men's clothing,T-shirts & Polos,2.7
206,68508,app225702,appliances,Heating & Cooling Appliances,4.8
207,53232,ind081323,industrial supplies,"Test, Measure & Inspect",2.7
208,70763,spf190536,sports & fitness,Strength Training,3.4
209,69537,acs149803,accessories,Bags & Luggage,2.1
210,25117,tvc179112,"tv, audio & cameras",Home Entertainment Systems,3.1
211,88661,cmb155286,car & motorbike,Car Electronics,4.4
212,73686,app110318,appliances,Washing Machines,1.2
213,11900,mcl146182,men's clothing,Shirts,4.7
214,64878,msh096801,men's shoes,Casual Shoes,3.4
215,39890,wcl135525,women's clothing,Clothing,2.2
216,99678,str212653,stores,Men's Fashion,1.9
217,52835,wcl016906,women's clothing,Western Wear,1.2
